2020-03-13 17:29:57.842 [restartedMain] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1254 ms
2020-03-13 17:29:58.081 [restartedMain] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-03-13 17:29:58.245 [restartedMain] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskScheduler - Initializing ExecutorService 'taskScheduler'
2020-03-13 17:29:58.269 [restartedMain] INFO  org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2020-03-13 17:29:58.322 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2020-03-13 17:29:58.360 [restartedMain] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2020-03-13 17:29:58.364 [restartedMain] INFO  com.penghk.fund.roboadvisor.RoboadvisorApplication - Started RoboadvisorApplication in 22.371 seconds (JVM running for 29.003)
2020-03-13 17:30:00.024 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 17:30:30.000 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 17:31:00.001 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 17:31:30.003 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 17:32:00.005 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 17:32:30.000 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 17:33:00.002 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 17:33:30.005 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 17:34:00.002 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 17:34:30.005 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 17:35:00.002 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 17:35:30.003 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 17:36:00.003 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 17:36:30.003 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 17:37:00.001 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 17:37:30.003 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 17:38:00.001 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 17:38:30.003 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 17:39:00.003 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 17:39:30.002 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 17:40:00.004 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 17:40:30.004 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 17:41:00.002 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 17:41:30.000 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 17:42:00.003 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 17:42:30.004 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 17:43:00.006 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 17:43:30.005 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 17:44:00.002 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 17:44:30.001 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 17:45:00.004 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 17:45:30.004 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 17:46:00.001 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 17:46:30.004 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-13 17:47:00.001 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
